"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"25584";"ЭЗС Большой Казённый переулок дом 6, строение 1";"Центральный административный округ";"Басманный район";"город Москва, Большой Казённый переулок, дом 6, строение 1";"37.655058";"55.76004";"1036018682";"0101000000D87DC7F0D8D342406FD39FFD48E14B40";"";
"25586";"ЭЗС Колпачный переулок дом 3, строение 2";"Центральный административный округ";"Басманный район";"город Москва, Колпачный переулок, дом 3, строение 2";"37.643166";"55.758317";"1036018683";"010100000017F3734353D242401B800D8810E14B40";"";
"25588";"ЭЗС улица Макаренко дом 1/19";"Центральный административный округ";"Басманный район";"город Москва, улица Макаренко, дом 1/19";"37.64622";"55.761024";"1036018684";"0101000000B4024356B7D242404DBC033C69E14B40";"";
"25593";"ЭЗС Потаповский переулок дом 14";"Центральный административный округ";"Басманный район";"город Москва, Потаповский переулок, дом 14";"37.641554";"55.759464";"1036018685";"01010000001A4F04711ED24240A33EC91D36E14B40";"";
"25576";"ЭЗС Раушская набережная дом 16";"Центральный административный округ";"район Замоскворечье";"город Москва, Раушская набережная, дом 16";"37.63301";"55.748006";"1036018689";"01010000003E05C07806D142401B9B1DA9BEDF4B40";"";
"25592";"ЭЗС улица Серпуховский Вал дом 4";"Южный административный округ";"Даниловский район";"город Москва, улица Серпуховский Вал, дом 4";"37.61983";"55.711677";"1036018691";"0101000000338AE59656CF42405F28603B18DB4B40";"";
"28237";"ЭЗС 1-й Кожуховский проезд дом 1/7";"Южный административный округ";"Даниловский район";"город Москва, 1-й Кожуховский проезд, дом 1/7";"37.658572";"55.704474";"1036018693";"0101000000D90759164CD44240EF703B342CDA4B40";"";
"28239";"ЭЗС Докучаев переулок дом 3, строение 1";"Центральный административный округ";"Красносельский район";"город Москва, Докучаев переулок, дом 3, строение 1";"37.642291";"55.774492";"1036018696";"0101000000F0C16B9736D24240BF81C98D22E34B40";"";
"28233";"ЭЗС Большая Переяславская улица дом 17";"Центральный административный округ";"Мещанский район";"город Москва, Большая Переяславская улица, дом 17";"37.639961";"55.788283";"1036018698";"010100000094DBF63DEAD14240137F1475E6E44B40";"";
"25574";"ЭЗС улица Красная Пресня дом 31";"Центральный административный округ";"Пресненский район";"город Москва, улица Красная Пресня, дом 31";"37.565372";"55.762324";"1036018702";"01010000007D09151C5EC842405B7A34D593E14B40";"";
"28241";"ЭЗС Волков переулок дом 13, строение 1";"Центральный административный округ";"Пресненский район";"город Москва, Волков переулок, дом 13, строение 1";"37.574079";"55.763617";"1036018709";"01010000000229B16B7BC94240B7D5AC33BEE14B40";"";
"26749";"ЭЗС Леонтьевский переулок дом 25";"Центральный административный округ";"Тверской район";"город Москва, Леонтьевский переулок, дом 25";"37.607225";"55.761974";"1036018712";"010100000024287E8CB9CD42407F33315D88E14B40";"";
"27115";"ЭЗС Леонтьевский переулок дом 25";"Центральный административный округ";"Тверской район";"город Москва, Леонтьевский переулок, дом 25";"37.607225";"55.761974";"1036018716";"010100000024287E8CB9CD42407F33315D88E14B40";"";
"28245";"ЭЗС Глинищевский переулок дом 6";"Центральный административный округ";"Тверской район";"город Москва, Глинищевский переулок, дом 6";"37.609822";"55.763052";"1036018719";"0101000000CF30B5A50ECE4240DE921CB0ABE14B40";"";
"25578";"ЭЗС Вековая улица дом 21, строение 1";"Центральный административный округ";"Таганский район";"город Москва, Вековая улица, дом 21, строение 1";"37.674578";"55.74364";"1036018720";"0101000000F04C689258D64240ACFF73982FDF4B40";"";
"25583";"ЭЗС Гончарная улица дом 20/1, строение 1";"Центральный административный округ";"Таганский район";"город Москва, Гончарная улица, дом 20/1, строение 1";"37.648308";"55.744266";"1036018721";"01010000001ADEACC1FBD242402BC3B81B44DF4B40";"";
"25589";"ЭЗС Большой Николоворобинский переулок дом 7, строение 2";"Центральный административный округ";"Таганский район";"город Москва, Большой Николоворобинский переулок, дом 7, строение 2";"37.648119";"55.751665";"1036018723";"010100000047753A90F5D242402046088F36E04B40";"";
"25594";"ЭЗС улица Александра Солженицына дом 23А, строение 1";"Центральный административный округ";"Таганский район";"город Москва, улица Александра Солженицына, дом 23А, строение 1";"37.663031";"55.744164";"1036018724";"0101000000F99D2633DED44240266E15C440DF4B40";"";
"26752";"ЭЗС улица Александра Солженицына дом 23А, строение 1";"Центральный административный округ";"Таганский район";"город Москва, улица Александра Солженицына, дом 23А, строение 1";"37.66308";"55.744182";"1036018725";"0101000000DB5031CEDFD44240CD22145B41DF4B40";"";
"25582";"ЭЗС 1-й Голутвинский переулок дом 3-5, строение 1";"Центральный административный округ";"район Якиманка";"город Москва, 1-й Голутвинский переулок, дом 3-5, строение 1";"37.613719";"55.73925";"1036018728";"010100000088F71C588ECE4240B4C876BE9FDE4B40";"";
"25575";"ЭЗС улица Бахрушина дом 20";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 20";"37.635903";"55.734328";"1036018738";"0101000000D236FE4465D14240BF44BC75FEDD4B40";"";
"25590";"ЭЗС Озерковская набережная дом 44";"Центральный административный округ";"район Замоскворечье";"город Москва, Озерковская набережная, дом 44";"37.639494";"55.736407";"1036018739";"01010000007EFE7BF0DAD14240D2C5A69542DE4B40";"";
"25597";"ЭЗС Большая Татарская улица дом 26";"Центральный административный округ";"район Замоскворечье";"город Москва, Большая Татарская улица, дом 26";"37.633512";"55.739334";"1036018740";"0101000000D1CFD4EB16D1424012691B7FA2DE4B40";"";
"28225";"ЭЗС Руновский переулок дом 5, строение 1";"Центральный административный округ";"район Замоскворечье";"город Москва, Руновский переулок, дом 5, строение 1";"37.635452";"55.74285";"1036018741";"0101000000C216BB7D56D14240B3EA73B515DF4B40";"";
"28228";"ЭЗС Садовническая улица дом 14, строение 1";"Центральный административный округ";"район Замоскворечье";"город Москва, Садовническая улица, дом 14, строение 1";"37.629126";"55.747327";"1036018743";"01010000001A88653387D042407A354069A8DF4B40";"";
"28222";"ЭЗС Поварская улица дом 33, строение 1";"Центральный административный округ";"район Арбат";"город Москва, Поварская улица, дом 33, строение 1";"37.58638";"55.757472";"1036018747";"0101000000A583F57F0ECB42405FD1ADD7F4E04B40";"";
"28226";"ЭЗС Староконюшенный переулок дом 26";"Центральный административный округ";"район Арбат";"город Москва, Староконюшенный переулок, дом 26";"37.595048";"55.747968";"1036018748";"01010000006DC669882ACC42402E3A596ABDDF4B40";"";
"27026";"ЭЗС набережная Тараса Шевченко дом 9";"Западный административный округ";"район Дорогомилово";"город Москва, набережная Тараса Шевченко, дом 9";"37.561301";"55.75219";"1036018754";"0101000000261B0FB6D8C742406A300DC347E04B40";"";
"25591";"ЭЗС улица Остоженка дом 36";"Центральный административный округ";"район Хамовники";"город Москва, улица Остоженка, дом 36";"37.595418";"55.738996";"1036018760";"010100000091B932A836CC4240FAEFC16B97DE4B40";"";
"28229";"ЭЗС 3-я Фрунзенская улица дом 19";"Центральный административный округ";"район Хамовники";"город Москва, 3-я Фрунзенская улица, дом 19";"37.572662";"55.723193";"1036018764";"0101000000BBD408FD4CC942401BD9959691DC4B40";"";
"28240";"ЭЗС улица Савельева дом 5";"Центральный административный округ";"район Хамовники";"город Москва, улица Савельева, дом 5";"37.563281";"55.722619";"1036148516";"0101000000A6BA809719C84240EF3B86C77EDC4B40";"";
"25595";"ЭЗС Хохловский переулок дом 13, строение 1";"Центральный административный округ";"Басманный район";"город Москва, Хохловский переулок, дом 13, строение 1";"37.643998";"55.756942";"1036160129";"01010000003F58C6866ED24240037CB779E3E04B40";"";
"25579";"ЭЗС Восточная улица дом 11, корпус 1";"Южный административный округ";"Даниловский район";"город Москва, Восточная улица, дом 11, корпус 1";"37.658776";"55.712812";"1036204251";"0101000000E2B19FC552D442402219726C3DDB4B40";"";
"26748";"ЭЗС улица Серпуховский Вал дом 4";"Южный административный округ";"Даниловский район";"город Москва, улица Серпуховский Вал, дом 4";"37.619697";"55.711679";"1036216651";"0101000000F436363B52CF4240FF1F274C18DB4B40";"";
"28242";"ЭЗС Малый Калужский переулок дом 2, строение 4";"Южный административный округ";"Донской район";"город Москва, Малый Калужский переулок, дом 2, строение 4";"37.600724";"55.719029";"1036296553";"01010000000EF62686E4CC424013F06B2409DC4B40";"";
"28234";"ЭЗС улица Верземнека дом 5";"Центральный административный округ";"Мещанский район";"город Москва, улица Верземнека, дом 5";"37.629111";"55.790741";"1036296799";"0101000000E54691B586D042409C4D470037E54B40";"";
"28235";"ЭЗС улица Гиляровского дом 57, строение 1";"Центральный административный округ";"Мещанский район";"город Москва, улица Гиляровского, дом 57, строение 1";"37.632844";"55.787086";"1036297112";"010100000023BC3D0801D14240DA91EA3BBFE44B40";"";
"25577";"ЭЗС Большая Бронная улица дом 17";"Центральный административный округ";"Пресненский район";"город Москва, Большая Бронная улица, дом 17";"37.600307";"55.762453";"1036297113";"0101000000AA471ADCD6CC424059DE550F98E14B40";"";
"25580";"ЭЗС Газетный переулок дом 1/12";"Центральный административный округ";"Пресненский район";"город Москва, Газетный переулок, дом 1/12";"37.607476";"55.756654";"1036297388";"01010000006D8D08C6C1CD42409C31CC09DAE04B40";"";
"28224";"ЭЗС улица Пресненский Вал дом 30";"Центральный административный округ";"Пресненский район";"город Москва, улица Пресненский Вал, дом 30";"37.567843";"55.770571";"1036297633";"01010000009B215514AFC842407D1F0E12A2E24B40";"";
"28230";"ЭЗС улица Пресненский Вал дом 7, строение 1";"Центральный административный округ";"Пресненский район";"город Москва, улица Пресненский Вал, дом 7, строение 1";"37.564662";"55.767274";"1036297650";"0101000000A0A52BD846C842401A89D00836E24B40";"";
"28238";"ЭЗС улица Климашкина дом 17";"Центральный административный округ";"Пресненский район";"город Москва, улица Климашкина, дом 17";"37.568245";"55.767815";"1036297651";"0101000000C98E8D40BCC842406A300DC347E24B40";"";
"28236";"ЭЗС Студенческая улица дом 44/28";"Западный административный округ";"район Дорогомилово";"город Москва, Студенческая улица, дом 44/28";"37.5388";"55.738662";"1036299005";"0101000000DB8AFD65F7C442402366F6798CDE4B40";"";
"26755";"ЭЗС 2-й Обыденский переулок дом 1А";"Центральный административный округ";"район Хамовники";"город Москва, 2-й Обыденский переулок, дом 1А";"37.60484";"55.74163";"1036301566";"010100000005A8A9656BCD4240C2DD59BBEDDE4B40";"";
"26756";"ЭЗС Курсовой переулок дом 4";"Центральный административный округ";"район Хамовники";"город Москва, Курсовой переулок, дом 4";"37.605815";"55.741978";"1036301804";"01010000008F368E588BCD4240FE2C9622F9DE4B40";"";
"28220";"ЭЗС Гоголевский бульвар дом 17, строение 2";"Центральный административный округ";"район Хамовники";"город Москва, Гоголевский бульвар, дом 17, строение 2";"37.599058";"55.747075";"1036301805";"01010000001E34BBEEADCC424061545227A0DF4B40";"";
"25573";"ЭЗС Мароновский переулок дом 1/9";"Центральный административный округ";"район Якиманка";"город Москва, Мароновский переулок, дом 1/9";"37.610525";"55.735565";"1036303262";"0101000000F931E6AE25CE4240878A71FE26DE4B40";"";
"26750";"ЭЗС Якиманский переулок дом 6";"Центральный административный округ";"район Якиманка";"город Москва, Якиманский переулок, дом 6";"37.609686";"55.733764";"1036303486";"01010000001F6ADB300ACE4240B77D8FFAEBDD4B40";"";
"26751";"ЭЗС Якиманский переулок дом 6";"Центральный административный округ";"район Якиманка";"город Москва, Якиманский переулок, дом 6";"37.609678";"55.733735";"1036303489";"01010000009C8BBFED09CE42401D774A07EBDD4B40";"";
"25596";"ЭЗС улица Большая Полянка дом 28, корпус 1";"Центральный административный округ";"район Якиманка";"город Москва, улица Большая Полянка, дом 28, корпус 1";"37.619169";"55.735856";"1036303498";"010100000038D906EE40CF42405E48878730DE4B40";"";
"26757";"ЭЗС Старомонетный переулок дом 11, строение 1";"Центральный административный округ";"район Якиманка";"город Москва, Старомонетный переулок, дом 11, строение 1";"37.618132";"55.741165";"1036303730";"0101000000384E0AF31ECF42404DF8A57EDEDE4B40";"";
"25581";"ЭЗС Глинищевский переулок дом 6";"Центральный административный округ";"Тверской район";"город Москва, Глинищевский переулок, дом 6";"37.609815";"55.763042";"1036303963";"01010000001CCEFC6A0ECE4240BABC395CABE14B40";"";
"25585";"ЭЗС улица Малая Дмитровка дом 15";"Центральный административный округ";"Тверской район";"город Москва, улица Малая Дмитровка, дом 15";"37.60532";"55.77021";"1036304197";"0101000000AFCE31207BCD4240AD86C43D96E24B40";"";
"28243";"ЭЗС улица Чаянова дом 7";"Центральный административный округ";"Тверской район";"город Москва, улица Чаянова, дом 7";"37.591993";"55.773977";"1036304429";"0101000000003B376DC6CB4240986DA7AD11E34B40";"";
"27028";"ЭЗС Трёхпрудный переулок дом 8";"Центральный административный округ";"Тверской район";"город Москва, Трёхпрудный переулок, дом 8";"37.597902";"55.764998";"1069622285";"0101000000431B800D88CC4240B1C05774EBE14B40";"";
"27025";"ЭЗС улица Заморёнова дом 9, строение 1";"Центральный административный округ";"Пресненский район";"город Москва, улица Заморёнова, дом 9, строение 1";"37.573545";"55.759439";"1069622313";"010100000065E42CEC69C942404A27124C35E14B40";"";
"28248";"ЭЗС 2-й Спасоналивковский переулок дом 3, строение 1";"Центральный административный округ";"район Якиманка";"город Москва, 2-й Спасоналивковский переулок, дом 3, строение 1";"37.618676";"55.732074";"1069622315";"0101000000F96871C630CF42403E20D099B4DD4B40";"";
"28221";"ЭЗС Петроверигский переулок дом 3, строение 1";"Центральный административный округ";"Басманный район";"город Москва, Петроверигский переулок, дом 3, строение 1";"37.638069";"55.756844";"1069770026";"0101000000B4CBB73EACD142404016A243E0E04B40";"";
"27021";"ЭЗС Садовая-Самотёчная улица владение 1";"Центральный административный округ";"Тверской район";"город Москва, Садовая-Самотёчная улица, владение 1";"37.613129";"55.773659";"1069770027";"0101000000569DD5027BCE4240C7A0134207E34B40";"";
"28244";"ЭЗС Селезнёвская улица дом 32";"Центральный административный округ";"Тверской район";"город Москва, Селезнёвская улица, дом 32";"37.612221";"55.781106";"1069770028";"01010000005376FA415DCE4240CD5A0A48FBE34B40";"";
"28249";"ЭЗС улица Николаева дом 3";"Центральный административный округ";"Пресненский район";"город Москва, улица Николаева, дом 3";"37.568351";"55.75584";"1069770029";"01010000000FD3BEB9BFC842401B81785DBFE04B40";"";
"27024";"ЭЗС Малый Трёхсвятительский переулок дом 3, строение 6";"Центральный административный округ";"Басманный район";"город Москва, Малый Трёхсвятительский переулок, дом 3, строение 6";"37.646954";"55.754416";"1069770048";"010100000019028063CFD2424021CA17B490E04B40";"";
"27022";"ЭЗС Садовая-Самотёчная улица владение 1";"Центральный административный округ";"Тверской район";"город Москва, Садовая-Самотёчная улица, владение 1";"37.613186";"55.773659";"1069770049";"0101000000BA2EFCE07CCE4240C7A0134207E34B40";"";
"28227";"ЭЗС улица Балчуг дом 2";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Балчуг, дом 2";"37.625957";"55.747205";"1069770050";"0101000000E4D9E55B1FD042402F34D769A4DF4B40";"";
"28517";"ЭЗС улица Земляной Вал дом 42, сооружение 1";"Центральный административный округ";"Таганский район";"город Москва, улица Земляной Вал, дом 42, сооружение 1";"37.658129";"55.754658";"1078596612";"01010000004CC631923DD4424017D522A298E04B40";"";
"28518";"ЭЗС улица Земляной Вал дом 42, сооружение 1";"Центральный административный округ";"Таганский район";"город Москва, улица Земляной Вал, дом 42, сооружение 1";"37.658097";"55.754658";"1082792538";"0101000000404CC2853CD4424017D522A298E04B40";"";
"28519";"ЭЗС Верхняя Сыромятническая улица дом 2";"Центральный административный округ";"Басманный район";"город Москва, Верхняя Сыромятническая улица, дом 2";"37.658858";"55.754779";"1082792539";"01010000009F5A7D7555D44240925A28999CE04B40";"";
"28520";"ЭЗС Верхняя Сыромятническая улица дом 2";"Центральный административный округ";"Басманный район";"город Москва, Верхняя Сыромятническая улица, дом 2";"37.658724";"55.754779";"1082792541";"01010000008F8B6A1151D44240925A28999CE04B40";"";
"28627";"ЭЗС улица Бутырский Вал дом 18, строение 1";"Центральный административный округ";"Тверской район";"город Москва, улица Бутырский Вал, дом 18, строение 1";"37.586015";"55.779288";"1092223790";"010100000094FB1D8A02CB424027158DB5BFE34B40";"";
"28686";"ЭЗС улица Рождественка дом 11, строение 3";"Центральный административный округ";"Мещанский район";"город Москва, улица Рождественка, дом 11, строение 3";"37.623437";"55.763101";"1110731716";"0101000000E50E9BC8CCCF4240BF45274BADE14B40";"";
"29250";"ЭЗС Даев переулок дом 14";"Центральный административный округ";"Красносельский район";"город Москва, Даев переулок, дом 14";"37.637594";"55.769984";"1110731717";"01010000001B1021AE9CD14240BD38F1D58EE24B40";"";
"29350";"ЭЗС Кутузовский проспект дом 2/1, корпус 1Б";"Западный административный округ";"район Дорогомилово";"город Москва, Кутузовский проспект, дом 2/1, корпус 1Б";"37.563688";"55.751019";"1110731718";"0101000000E692AAED26C842405AD6FD6321E04B40";"";
