"ID";"Name";"StationCapacity";"BikeParkingSlotsAmount";"global_id";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Location";"ClarificationOfLocation";"DepartmentalAffiliation";"OperOrgName";"OperOrgWebsite";"Photo";"geodata_center";"geoarea";
"2";"Пункт проката велосипедов № 2";"14";"";"2757552";"37.5996";"55.7469";"Центральный административный округ";"район Хамовники";"Гоголевский бульвар, дом 17, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"49c4899e-b5f3-4ac7-a4ff-5cb0016128de";"01010000003F575BB1BFCC4240F2B0506B9ADF4B40";"";
"3";"Пункт проката велосипедов № 3";"12";"";"2757553";"37.6006";"55.7509";"Центральный административный округ";"район Арбат";"Гоголевский бульвар, дом 33";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"de3a2c70-d262-4a5d-9434-9ec761a6d7f0";"010100000022FDF675E0CC42408048BF7D1DE04B40";"";
"4";"Пункт проката велосипедов № 5";"12";"";"2757554";"37.6";"55.7554";"Центральный административный округ";"Пресненский район";"Никитский бульвар, дом 11/12, строение 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"49c61b17-4307-44c8-ae5b-f65589bda64f";"0101000000CDCCCCCCCCCC4240FFB27BF2B0E04B40";"";
"5";"Пункт проката велосипедов № 6";"15";"";"2757555";"37.5985";"55.7573";"Центральный административный округ";"Пресненский район";"Большая Никитская улица, дом 23/14/9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"131c5f56-1c71-4152-9343-6734aedbb299";"0101000000F853E3A59BCC424062A1D634EFE04B40";"";
"7";"Пункт проката велосипедов № 8";"14";"";"2757557";"37.6022";"55.7616";"Центральный административный округ";"Пресненский район";"Тверской бульвар, дом 17, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"72843a75-2c44-4990-b443-b21a90fafcc5";"01010000005BD3BCE314CD42401A51DA1B7CE14B40";"";
"8";"Пункт проката велосипедов № 9";"20";"";"2757558";"37.6051";"55.7646";"Центральный административный округ";"Тверской район";"Тверской бульвар, дом 28";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"ccef24b9-668e-4ccb-aed7-87f93b56f1c2";"0101000000A167B3EA73CD4240C442AD69DEE14B40";"";
"10";"Пункт проката велосипедов № 10";"14";"";"2757559";"37.6095";"55.7667";"Центральный административный округ";"Тверской район";"Страстной бульвар, дом 8А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"400e909a-b5d9-4d10-8c75-14b24e48d73a";"0101000000BC74931804CE4240EEEBC03923E24B40";"";
"11";"Пункт проката велосипедов № 11";"8";"";"2757560";"37.6131";"55.7681";"Центральный административный округ";"Тверской район";"Страстной бульвар, дом 16";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"7af2f208-7e89-422b-a4e6-609851148fe7";"0101000000BC96900F7ACE42405F07CE1951E24B40";"";
"17";"Пункт проката велосипедов № 16";"10";"";"2757561";"37.631468";"55.760244";"Центральный административный округ";"Басманный район";"Мясницкая ул., д.10";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"53f58f5a-0ca1-4723-9da1-97febc2e934b";"01010000003A3C84F1D3D04240787DE6AC4FE14B40";"";
"18";"Пункт проката велосипедов № 17";"8";"";"2757562";"37.6417";"55.7631";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 8, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"8b30cda2-ed23-4b12-808c-792e6005d525";"0101000000EEEBC03923D24240EFC9C342ADE14B40";"";
"19";"Пункт проката велосипедов № 18";"14";"";"2757563";"37.6455";"55.7603";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 12, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"b640f19e-5794-4464-ba57-18e91911f762";"0101000000B4C876BE9FD242400C93A98251E14B40";"";
"20";"Пункт проката велосипедов № 19";"8";"";"2757564";"37.6473";"55.7573";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 8, строение 1А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"0772c5dc-6a2f-4e1a-b9c6-a65358692c6a";"0101000000B459F5B9DAD2424062A1D634EFE04B40";"";
"21";"Пункт проката велосипедов № 20";"8";"";"2757565";"37.6484";"55.7554";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 12, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"bf9d11fd-fffb-4b4f-8356-aebd710dd0fa";"0101000000FB5C6DC5FED24240FFB27BF2B0E04B40";"";
"22";"Пункт проката велосипедов № 21";"8";"";"2757566";"37.6474";"55.7533";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 18/15";"На пересечении с Подколокольным переулком";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"4c1ba2e7-d632-49a2-9560-5322369fc620";"010100000017B7D100DED24240D50968226CE04B40";"";
"23";"Пункт проката велосипедов № 29";"20";"";"2757567";"37.6096";"55.7621";"Центральный административный округ";"Тверской район";"Тверская улица, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"ed51d78c-3516-44f4-8639-6a071b4faca1";"010100000020D26F5F07CE42400B24287E8CE14B40";"";
"25";"Пункт проката велосипедов № 28";"12";"";"2757568";"37.625079";"55.760656";"Центральный административный округ";"Мещанский район";"Пушечная ул., д.11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"6ccbbbcb-d098-4000-b059-cfc09b133701";"01010000004C35B39602D04240CAC0012D5DE14B40";"";
"26";"Пункт проката велосипедов № 30";"14";"";"2757569";"37.612399";"55.759292";"Центральный административный округ";"Тверской район";"Камергерский пер., д.4";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"8102721c-26e5-40ba-9d97-45310f6561d2";"0101000000338D261763CE4240A60EF27A30E14B40";"";
"27";"Пункт проката велосипедов № 35";"18";"";"2757570";"37.623";"55.7622";"Центральный административный округ";"Мещанский район";"улица Кузнецкий Мост, дом 13/9, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"992f9c2d-f1c5-4819-9d3f-4bdfaac0eae6";"010100000039B4C876BECF42406F8104C58FE14B40";"";
"30";"Пункт проката велосипедов № 15";"15";"";"2757572";"37.6367";"55.7654";"Центральный административный округ";"Красносельский район";"Тургеневская площадь, дом 2";"Между выходами станции метро «Тургеневская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"c399a2e7-a388-4e1b-8528-fe2d5814694c";"01010000007DAEB6627FD14240E02D90A0F8E14B40";"";
"31";"Пункт проката велосипедов № 13";"14";"";"2757573";"37.626047";"55.760020";"Центральный административный округ";"Тверской район";"Театральный пр-д, д.5, стр.1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"125bbca2-592f-4ec0-9340-c7831b2f1f82";"01010000002461DF4E22D042402827DA5548E14B40";"";
"32";"Пункт проката велосипедов № 49";"10";"";"2757574";"37.6415";"55.7671";"Центральный административный округ";"Красносельский район";"улица Мясницкая, дом 39";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"51197f21-ef62-40bb-b44c-c8704eede56b";"0101000000273108AC1CD242407C61325530E24B40";"";
"33";"Пункт проката велосипедов № 308";"12";"";"2757575";"37.579688";"55.701583";"Юго-Западный административный округ";"Академический район";"Улица Вавилова, дом 17";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"6788ab1e-bbb5-4a10-b26b-4fc84ec54d40";"01010000001BF1643733CA4240FC36C478CDD94B40";"";
"34";"Пункт проката велосипедов № 200";"16";"";"2757576";"37.5969";"55.7336";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 4";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"3211b917-5441-4a7e-99fd-d2a59bb830e2";"0101000000BF7D1D3867CC42403D2CD49AE6DD4B40";"";
"35";"Пункт проката велосипедов № 201";"32";"";"2757577";"37.5899";"55.7257";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 22/2";"На пересечении с 1-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"d2d37d9f-d9bf-4e2d-8007-75cbe8d83603";"010100000088F4DBD781CB4240865AD3BCE3DC4B40";"";
